倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第

4169、春秋战国时期，齐国先后有两姓君王，分别是姜太公一脉的姜齐和田氏伐齐建立的田齐，请问以下那件事情是发生在姜齐时期的：|九合诸侯

4170、周礼是重要的礼乐典籍。依照周礼，冬至应该进行的一项活动是?|郊祀祭天

4171、镜湖三百里，菡萏发荷花出自子夜四时歌的哪一首：|夏歌

4172、某些玩法获得的称号具有属性加成作用，请问增加防御百分比的称号来自于?|科举大赛

4173、以下哪个技能对于武器有强制要求?|封经断脉

4174、六朝三杰是指在中国绘画史上指六朝时期3位著名画家。那么以下选项中三杰之一作品和作家对应正确的是?|顾恺之-女史箴图

4175、沈周是明朝杰出书画家，下列不属于他的作品的是?|山路松声图

4176、倩女中的武器多以人物来命名，请问以下哪个武器名称中涉及到的人物和其他三个不在同一时代?|裴元庆之破梅刀

4177、唐寅才气横溢，诗文擅名，别号众多，下列不属于唐寅别号的是?|大痴道人

4178、中国古代有不少书籍记录了当时都城的城市风貌，请问以下哪本书籍与其他三要描写的不是同一座城市?|东京梦华录

4179、青铜是红铜和锡、铅的合金，也是金属冶铸史上最早的合金，这主要是因为青铜的哪一种特性?|熔点低

4180、茶圣陆羽曾写过：不羡黄金缶，不羡白玉杯的诗句，其中黄金缶和白玉杯都是酒器而不用来喝茶，请问在唐朝时期，以下哪种器皿最常用来喝茶?|碗

4181、众里寻他千百度，蓦然回首，那人却在，灯火阑珊处。此句出自辛弃疾的一首词，请问这首词的词牌名是?|青玉案

4182、中山王徐达是明朝的开国功臣，他一生也圣眷颇隆，以下南京的哪个园林不曾是他的府邸园林呢?|玄武湖

4183、下列词句中，不是由范仲淹所作的是?|只许州官放火，不许百姓点灯

4184、俗话说，龙生九子各有不同，在杨慎所撰升庵外集中，五子饕餮极度好食，广为人知，根据升庵外集记载，九子中老大的特点是?|能日行千里

4185、在封神演义中，姜子牙用直钩钓鱼，被一位樵夫看到，问其原因，答曰：负命者上钩来。最终姜子牙钓到了文王，对于文王的描述，不正确的一项

4186、是?|演绎先天八卦

4187、黄州好猪肉，价贱如粪土。富者不肯吃，贫者不解煮。慢着火，少着水，火候足时它自美。每日起来打一碗，饱得自家君莫管。请问这首诗说的是

4188、谁的烹肉经验?|苏东坡

4189、成语割须弃袍来源于三国演义第58回，形容曹操被马超击败，狼狈逃窜的样子。请问当时曹操弃了什么颜色的袍?|红色

4190、古代有很多关于人和动物之间的故事，有讲述知恩图报的，也有讲忘恩负义的。下列这些故事以其出处的成书年代来看，最晚的是?|东郭求狼

4191、古代有很多关于救母的传说故事，用神仙或英雄人物救母的事迹表现孝道，教化世人。以下这些救母的传说中，主人公所使用的武器与其它几个不

4192、同的是?|目莲救母

4193、元976年，宋太祖赵匡胤一夜之间猝然离世，其弟赵光义登基为帝，为宋太宗，这一皇权交迭史称烛光斧影，那么从哪一任皇帝开始，皇权又重新

4194、回到了太祖的直系血脉手中?|宋孝宗赵沓

4195、神龙元年正月，几位朝臣联合右羽林大将军李多祚发动政变，杀死二张兄弟，逼武则天退位，迎中宗复位，恢复唐朝旧制。那么以下几人中谁没有

4196、参加神龙政变?|狄仁杰

4197、西施病心而颦其里，其里之丑人见而美之，归亦捧心而颦其里。其中见而美之的美是什么意思?|以之为美

4198、史记卷六十一伯夷列传：武王已平殷乱，天下宗周，而伯夷、叔齐耻之，义不食周粟，陷于首阳山，采薇而食之。请问这里提到的薇其实是哪种植物?|野豌豆

4199、倩女游戏中有个NPC叫伍秋月，在游戏中负责节日礼物的发放。在聊斋志异中，她与秦邮王鼎成亲。请问书中伍秋月是一个：|女鬼

4200、曹操曾写过一首诗，叫主簿杨修送交华佗，华佗打开一看，见写的是：胸中荷花，西湖秋英，睛空夜珠。请问这诗意中包含有几味中药名称?|十六

4201、购买羊肉时，常根据肉的颜色来判断肉的新鲜程度，道理何在?|放久了，铁离子氧化，呈暗红色

4202、某日殷紫萍突感咽喉肿痛，有感冒迹象。请问这时她会选择使用下列哪种植物做药来治疗自己?|十大功劳

4203、古代小说常用沉鱼落雁，闭月羞花形容女性之美，沉鱼落雁与闭月羞花指代的都是古代的美女。请问其中闭月是指：|貂蝉

4204、宋代画家张择端的传世之作清明上河图，描绘的是今天哪个城市在当时的风貌?|开封

4205、灵宝派信服的三位最高的神中有太上大道君吗?|有

4206、上古神话中，八卦的制造者是：|伏羲

4207、古人称酒为天之美实禄，显示出对酒的重视和喜爱。古代宫廷中也有独特的美酒佳酿，请问宫廷和当时宫中名酒对应不正确的是?|唐-松苓酒

4208、著名的怒江源出：|唐古拉山脉

4209、八宝印泥与水仙花、__被称为漳州三宝。|片仔癀

4210、曲阳北岳庙建于北魏，为历代皇家祭祀北岳恒山神之场所。内存巨幅壁画天宫图。请问天宫图的绘画作者是：|吴道子 米芾 阎立本
顾恺之相传春秋时代，秦穆公的女儿弄玉性情孤僻，只爱品笛吹笙。有个青年隐士萧史，在华山隐居。请问这段典故引申出的成语是:|乘龙快婿 画龙点睛 吴市吹萧
有凤来仪

4211、历史上有一位宋康王，因为一次占卜出兵先后击败齐楚魏三国，而后射天笞地，铲毁社稷，表明自己威服鬼神，被诸侯们称为桀宋。请问占卜的现象是：|鹰生雀巢

4212、在郑和七下西洋的过程中，以下哪一次到达了非洲?|第五次

4213、诗句三千宠爱在一身的上半句是：|后宫佳丽三千人

4214、我国古代农耕方式演变的趋势正确的是?|刀耕火种-石器锄耕-铁犁牛耕

4215、游戏中很多职业释放某一技能后自身会得到某种状态，以下技能-获得的状态说明不正确的是?|天仙子-对所有怪物伤害加成

4216、周礼中将妇女纺织生产称为妇功，并将之与王公，士大夫，百工，商旅和农夫并列。这说明了：|纺织业在经济生产中的地位已经相当重要海上__明月，天涯共此时：|生

4217、诗句且欲竟寻彭泽宰的下半句是：|陶然共醉菊花杯

4218、七夕是哪一种历法的节日：|阴阳历 公历 其它都不正确

4219、兰花是中国传统名花。兰花以它特有的叶，花，香独具四清，给人以极高洁，清雅的优美形象。请问下列名诗中描写兰花的是：|身在千山顶上头，突岩深缝妙香稠

4220、在倩女游戏中，有些技能使用后降低攻击，下列技能中不属于的是：|破阵子

4221、黄酒是以下哪种为原料制成的：|稻米

4222、南阳有冬至不端饺子碗，冻掉耳朵没人管的民谣，是为了纪念哪个深受百姓爱戴的恩人?|张仲景

4223、天下功夫出少林，以南拳北腿著称的南北两座少林寺院的僧人，匡扶正义，历次救国家于危难之中。如今，南少林已销声匿迹，而北少林则位于：|嵩山

4224、历史上唯一单独载入正史•将相列传的巾帼英雄是：|秦良玉

4225、下列不属于张岱作品的是：|西湖游览志

4226、下列哪一个民族不是五胡乱华的五胡之一?|彝

4227、锡兰石在倩女幽魂中可增加冰攻击，现实中这种宝石主要产于锡兰。请问锡兰是哪个国家的旧称?|斯里兰卡

4228、曹操在错杀谁全家后，说下了：宁教我负天下人，休教天下人负我一话?|吕伯奢

4229、历史上有一段与嵇康相关的趣事，讲述的是一个人抱着刚写完的书，想拿给他看，但又怕被他刁难，只好在门外把书扔进去，然后转身逃跑，请问

4230、这个扔书的人是?|钟会

4231、中国古代弈棋活动十分普遍，但是有很多流行于世的棋种并不发源于中国。以下这几种棋毫无争议地起源于中国的是?|围棋

4232、精卫填海的故事记载于?|山海经

4233、剔犀是雕漆工艺的一种，通过多层上漆、纹画、雕刻等过程在器具表面以回旋生动、流转自如的纹路雕出精美的图案，此种工艺又称?|云雕

4234、在五灵钗玩法西湖五友难度下，第5个BOSS飞自来会召唤水晶，哪种水晶会给BOSS回血?|绿水晶

4235、市舶司为古代在海港设立的管理海上对外贸易的官府，明朝期间多次撤销以及恢复市舶司，直至万历年间恢复后才无大的变动，此时市舶司在三地

4236、设置，请问下列哪一地不是三司的设置地点?|青岛

4237、十二章纹代表中国古代帝王以及高级官员礼服上绘绣的十二种纹饰，明代时皇帝衮冕玄衣黄裳，其中十二章纹中哪一种不绣在裳上?|龙

4238、在倩女的世界里，当宝宝》70级时，父母可以带宝宝去杭州萧大师处鉴定气场，在各种气场分类中，下列哪一个需要的道德值必须是负的?|小龙女

4239、中国的茶文化源远流长，请问以下哪一类茶在制作工艺中需要萎凋呢?|白茶

4240、元代画家黄公望以富春山居图流传千古，请问他没有师法过下列哪位?|张择端

4241、倩女中有一个场景为京杭大运河，请问现在的大运河不流经以下哪座城市?|安庆市

4242、古代有众多记录中医医学药学的著作，下列哪一部是以记录了最多的方剂而闻名于世?|普济方

4243、历史上有不少杰出的政治家与军事家被比作子房，以称赞他们足智多谋。请问以下选项中，没被比作子房的人是?|诸葛亮

4244、传说中，六道是众生轮回之道途，猪八戒下凡误投畜生道才成了猪胎，下列不属于六道之一的是?|夜叉道

4245、有些食物以身体部位命名，但实际上并不包含这些原料，请问下列关于食物的说法哪种是错误的?|北京炒肝无肝

4246、汉白玉是一种名贵的建筑材料，它洁白无瑕，质地坚实而细腻。请问汉白玉实际上属于以下哪种岩石?|大理石

4247、乐府诗集•佚名•企喻歌辞：前行看后行，齐著铁裲裆。那么裲裆是什么部位的服饰?|背心

4248、儒家经典所包括的内容十分广泛，其中很大一部分是教人修身正行的，下列这些词语中哪个在儒家经典里不属于儒家所推崇的品格?|乡愿

4249、纳兰性德曾有一首名句：人生若只如初见，何事秋风悲画扇，世人常以秋凉团扇来形容女子失宠，请问这个典故出自以下哪位?|班婕妤

4250、三国演义中，孙权大破关羽之后，欲进图蜀，拜谁为汉中太守，奋威将军，封陵阳侯?|周泰

4251、飞鸟绝，良弓藏。狡兔尽，走狗烹。这一句反应了古代很多能臣大将，在主公建立功业后就惨遭杀害的悲惨故事。请问下列人物中没有遭此劫难的是?|孙膑

4252、漠漠帆来重的下半句是：|冥冥鸟去迟

4253、我国现存的第一首完整的山水诗是：|步出夏门行-观沧海

4254、不仅孙悟空的金箍棒大有来头，沙僧也曾介绍过他的兵器-降妖宝杖的来历。请问他自称这降妖宝杖是谁制造?|鲁班

4255、诗长相思的作者是：|李白 温庭筠

4256、以下四位明代帝王中，谁在位时间最长?|明神宗

4257、佛教的创始人是?|释迦牟尼

4258、以词应合律为基本立场，强调词与音乐的血脉联系和词与诗的不同之处，以此来认识，维护词的独特性，严分诗词界限，并提出词别是一家之说的

4259、宋代词人是：|李清照

4260、战国时期的名医扁鹊，因为治好了患尸厥(类似今天的休克或假死)的虢国太子，从此以起死回生闻名于世。请问扁鹊为虢国太子施行的疗法中，不包括以下那一项?|药熨
拔罐 针刺

4261、茶叶成为我国人民日常生活必需品，政府开始征收茶税是在：|唐朝

4262、西游中，东海龙王名叫:|敖广

4263、在倩女游戏中，有些技能使用后是计算法术命中的，下列技能中不属于的是?|蝎尾

4264、授时历是由下列哪一位主持制定的：|郭守敬

4265、在青铜兵器的发展期间，古人总结经验，认识到青铜合金的配比规律：其中含锡量过低，器具韧而不坚，含锡过高，器具硬而发脆。那么适合制作戈戟的青铜和锡配比方案是：|三比一
四比一

4266、西游中，沙和尚最后被封为：|八宝金身罗汉菩萨

4267、唐朝著名诗人皮日休和陆龟蒙是一对志趣相投的文坛好友。一日，两人相约到城外郊游，数曲急流冲细竹。请问这首诗中暗含了哪几味中药名?|竹叶，通草，远志

4268、夜归鹿门山歌的作者是：|孟浩然

4269、汉书艺文志将春秋战国时期的各流派概括为九流十家，其中不包括：|兵家

4270、天池乃是高山湖泊名。在我国有数十处高山湖泊，被人们形象的称之为天池。其中下列哪一处的天池古称瑶池，是传说中西王母宴请周穆王之地?|吉林长白山
内蒙古阿尔山 新疆天山

4271、南宋爱国诗人陆游，一生中写下了许多忧国忧民，一展抱负的诗篇。他不但仕途坎坷，爱情生活也非常不幸。他曾在绍兴沈园奋笔题下钗头凤的千古绝唱。请问他作这首词是为了：|唐琬

4272、中国古代有避讳制度，要避免使用本朝帝王的名字。遇到有相同的字时，必须改用其他的字。下列各项中属于这种情况的是：|大都-北平 内史省 -中书省
相邦-相国

4273、干支纪年法有助于我们在读古代文学作品时，结合相近的历史事件推算出该作品写作时的准确时间。则可推知，兰亭集序最有可能书成于公元多少年?|353

4274、与卢沟桥，赵州桥，广济桥并称为中国古代四大名桥的洛阳桥位于：|福建泉州

4275、中国第一部系统的史论专著是：|史通

4276、很多剧情BOSS都有特殊的技能，下列技能中属于赤脚大仙的技能特点是?|扔鞋子

4277、远古神话中，女娲是不是人类的始祖?|是

4278、中国许多美食都与苏轼有关，以下因苏轼得名的美食中属于川菜的是?|东坡墨鱼

4279、聊斋中写到了许多狐妖花妖鬼魅，聊斋原著中，以下哪位人物与小谢是同类?|宦娘

4280、中国的传统文化中一直对器十分重视，请问古时候的人们一般用什么盛饭菜呢?|簋

4281、戏曲是中国文化中的一块瑰宝，我国的地方戏曲种类繁多，下列地方戏曲与唱白所用的方言搭配错误的一项是?|蒲剧-湖北 粤剧-广东 歌仔剧-闽南

4282、筷子古时又称其为箸，日常生活当中对筷子的运用是非常有讲究的，以下哪种不是十三种用筷禁忌之一?|临食废箸

4283、左传记载晋文公因楚王的收留而对其承诺将来交兵时退避三舍，请问三舍是多少里?|九十里

4284、以下灵兽绝技中，哪种能够增加70级控制状态使得悬瓠济世或者护心胆移除控制状态是有概率失败?|九梵神印 笑尽红尘 拨云见日

4285、近年来胎教逐渐盛行，其实古已有之。请问中国古代第一个进行胎教的人是谁?|孔子之母 夏启之母 周文王之母

4286、我国民间有很多风俗禁忌，多数与古人对鬼神，祖先的敬畏有关，有些则是反映了人们平安吉祥的愿望。以下禁忌中与古代圣人有关的一项是?|忌讳73和84岁

4287、石之灵观自在其实是观音的一种翻译，这种翻译最初出自谁之手?|达摩 玄奘 鸠摩罗什

4288、我国古代神话中有众多仙人，有的是天地灵气所化，有的则是凡人修成，据说有天地神人鬼的五仙之分，以下四位神仙其真身为凡人的是?|南华 老仙 西王金母
北斗真君

4289、在展旗威效果下，以下侠客技能描述正确的是?|附带提速 加成防御 生生不息

4290、不知你是否也喜欢探听三界中的八卦?在老相好任务中，万妖宫主春三十娘的老相好是谁?|雷峰塔塔神-芜溟

4291、美酒自需好杯配，请问喝状元红应当用什么杯子?|夜光杯 犀角杯 古瓷杯

4292、倩女中石之灵可以大幅提高人物能力，下列可以镶嵌在匕首上的石之灵，哪个没有增加命中的效果?|知足乐 他心通 相无定

4293、天启宫词中有一诗句：纤玉剥残双郭索，落花舞蝶唾生香。此句描绘的是吃哪种美食的场景?|花生 菱角 螃蟹

4294、元朝书法家赵孟頫在中国书画史上具有广泛影响，赞誉颇多，下列哪一项不是对他书法的赞誉?|石如飞白木如箍 篆箍分隶真行草
飘若浮云三清山位于中国江西省，因玉京，玉虚，玉华三峰峻拔，如道教三清尊神，列坐其巅而得其名，下列不属于三清山景点的是?|猴王献宝 猴子观海 东方女神

4295、倩女的世界中每个玩家都可以习得演奏乐器的技能，请问在古代以下乐器出现最早的是?|埙 琵琶 阮

4296、古代儒家要求学生掌握六艺，请问剡注属于六艺里的哪一类?|射

4297、夸父逐日源出于下列哪一本书：|山海经

4298、唐朝著名的安史之乱大约历时多久?|八年

4299、南宋著名词人姜夔工诗词，精音乐，善书法。他的扬州慢•淮左名都，词中二十四桥仍在，波心荡。颇受人们称道。请问这首词表达的是：|对南

4300、宋衰亡局面的伤悼和对金兵暴行的憎恨

4301、下列不属于三国演义中著名的三绝的是：|哭绝

4302、我国古代十分重视座次，因为座次是分别尊卑的重要标志。请问以下哪种座次是室内最尊的座次?|坐西面东

4303、美人靠指的是徽式古宅天井四周的靠椅。传说中美人靠的来源和历史上哪位美人有关呢?|西施

4304、在大理有一种著名的民俗活动，这种活动最早是佛教集会，别称观音街，它是当地各民族盛大的物资交流集会，请问这种民俗活动叫什么?|三月街

4305、竹林七贤中有一人曾为了躲避司马昭的拉拢，每天拼命喝酒以令代司马昭之子提亲的人无法开口，弄得司马昭无可奈何，此人是谁?|阮籍

4306、古代的尺要短于现代的尺，如三国时期，一尺约为23厘米，描述为身长七尺，细眼长鬓的人物为?|曹操

4307、欧阳修曾任贡举主考官，对一份答卷十分满意，他以为是自己学书曾巩所书，为了避嫌，录为第二，请问真实主人是谁?|苏轼

4308、我国哪一部著作中，首先在世界数学史上提出了负数的概念?|九章算术

4309、五行是中国古代的一种物质观。多用于哲学，中医学和占卜方面。五行指：金木水火土。请问下列对应正确的一项是：|水-黑-北

4310、俞伯牙摔琴谢知音记叙了先秦的琴师俞伯牙弹奏高山流水时遇到了知音钟子期，请问俞伯牙摔琴谢知音中摔的琴是?|瑶琴

4311、街亭之战中，马谡不听谁的劝告，以至于失了街亭，蜀军大败?|王平

4312、相传神医华佗曾为曹操治疗头痛，但是曹操疑其有谋害之心，处死了他。请问如果华佗死后，曹操还想请一位名医来为他治病，可以找到以下哪位?|张仲景

4313、骆宾王无人信高洁的下一句是：|谁为表予心

4314、无末天下乱世之时，群雄之中有一位名叫陈友谅，曾与明太祖争雄天下。然而此人性雄猜，好以权术驭下，与友谅二字实不相符。请问友谅这个说

4315、法出自何处?|论语

4316、我国古代棋文化盛行，从中衍生出许多成语和俗语，请问下列成语中哪个的出处与棋文化有关?|专心致志

4317、唐末时期提及禅林高僧都会说到南有雪峰，北有赵州，以下分别是两位禅师道场的是?|望州亭和赵州关

4318、以下关于打灵兽绝技的过程描述错误的是：|与灵兽的悟性相关

4319、请问蘋踪侠影任务中的小蘋是武海的几夫人呢?|七夫人

4320、簋原是当时贵族的食器或祭器，后来又浙浙流传到民间。九大簋是盛行于广东省尤其是珠江三角洲地区盛宴的总称。请问簋字读音是：|鬼

4321、请问太极八卦中的巽卦对应自然界的什么事物?|风

4322、民间有习俗，在过年时把福字倒贴在门上，借福倒了谐音福到了以图吉利。请问大概从何时起民间开始流行倒贴福字?|明

4323、日晷是我国古代一种计时仪器。通常由铜制的指针和石制的圆盘组成，主要是利用什么来测出时刻的?|日影

4324、夏商周三代的青铜器，体现了当时最先进的金属冶炼，铸造技术，它们的功能主要是?|礼仪用具和武器

4325、在书法史上，下列不属于著名的四体的是：|宋体

4326、春秋战国时期各国都兴修了水利工程，其中最有名的是：|都江堰

4327、南宋的最后一位皇帝是：|赵昺

4328、北斗星的勺柄指向以下哪颗星星?|北极星

4329、下列行星中，会发生凌日现象的是?|金星

4330、我国古代把农历每月初一叫作朔日，每月最后一天则被称为?|晦

4331、古代将黄赤道带分成多少个星宿，利用它来描述月亮，太阳及五星的位置?|28

4332、春秋时我国已发明抛石机(炮)，用以抛石杀伤敌人。它所利用的原理是?|杠杆原理

4333、汉代成书的神农本草经记载了三百六十五种药物，包括大部分常用药。它是我国现存最早的一部什么学科专著?|药物学

4334、东汉中期有一位科学家指出月球本身并不发光，月光其实是日光的所射。他是?|张衡

4335、古书记载：慈石召铁，或引之也。这是关于什么现象的最早记载?|磁石吸铁

4336、以太阳视运动为依设置的历法叫太初历，简称阳历。以月亮的视运动规律为依据设置的历法则被称为什么?|太阴历

4337、据东汉王充在论衡中记载，用以指示方向的器具司南，是由勺和地盘构成的，那勺的质地是?|磁石

4338、我国历史上第一部完整的有文字记载的新历太初历，是有谁创制的?|落下闳

4339、在三国一书中，诗句：运筹如范蠡，决策似陈平。可惜身先丧，中原栋梁倾。描写的是哪位谋士?|郭嘉

4340、春秋•鲁文公十四年记载了公元前613年秋七月有星孛入于北斗，这是关于什么天文现象的最早记载?|慧星回归

4341、安史之乱发生在唐朝下列哪个皇帝的统治时期?|唐玄宗

4342、商周年间我国已有五行说，五行说认为世界万物都是由五种基本物质元素所组成，这五种物质是?|金木水火土

4343、算筹是用竹子，木头等材料制成的一种古代计算工具，它计算时所采用的进位制是?|十进位制

4344、古人所称的荧惑星，是哪个天体?|火星

4345、古人说的启明星是哪一个天体?|金星

4346、月食只能发生在农历的哪一天?|望日

4347、战国时期著名的冶铁中心是?|邯郸-宛

4348、我国的第一部散文集是：|尚书

4349、商代的冶铸技术达到了相当高的水平，制造器物所使用的冶炼金属主要为?|青铜

4350、日食只能发生在农历的哪一天?|朔日

4351、太初历采用的岁首和科学的置闰法，首次准确推算出日，月食周期，根据这个周期，可以对什么天文现象进行预报?|日食月食

4352、北斗七星是古代判定季节的标志，古书上说：斗柄东指，天下皆_?|春

4353、以下可以用来测定确定节气的古代仪器是?|圭表

4354、著名的云冈石窟位于：|山西省

4355、长庚是中国古代对哪一颗行星的称呼?|金星

4356、至战国时，古人已发现木星约十二年运行一周，并根据木星在天空的位置来纪年，这种纪年法被称为?|岁星纪年法

4357、中国古代，按所提出的宇宙模式的不同，有多家学说，东汉张衡所倡的学说是?|浑天说

4358、古代匈奴的首领一般被称为：|单于

4359、古代的纪年法有很多种，其中初平四年采用的纪年法是?|帝王年号记年法

4360、古代占星家为了用天象变化来占卜人间的吉凶祸福，将天上星空区域与地上的国州互相对应，称作什么?|分野

4361、周代我国人民已使用阳燧即凹面镜聚焦阳光取火，这是人类最早利用什么能源的一种方法?|太阳能

4362、甘石星经是现存世界上最早的天文学著作，它是什么时期的著作?|战国时期

4363、以下在物理学方面有许多重要成就的古代著作是?|墨子

4364、下列名称不属于节气名称的是?|大伏

4365、中医有四诊法，即：望闻问切。它最初是由谁提出的?|扁鹊

4366、古人所称的太阴，是哪一个天体?|月球

4367、诗黄鹤楼的作者是：|崔颢

4368、漏刻是古代的一种计时工具，刻是指划分一天的时间单位，漏是指什么?|计时用的漏壶

4369、司南能够指引方向，是依靠其中的磁勺，那么勺柄所指向的方向是?|南

4370、记载了关于小孔成象和平面镜，凹面镜，凸面镜成象的观察研究的古代著作是?|墨子

4371、数九寒天第一九开始于哪一天?|冬至

4372、考工记记载了生产，生活用具等制作规范以及房屋建筑的设置规范。它是我国古代什么学科的重要著作?|工程技术

4373、至迟在春秋末年，出现了一种简便的计算工具，从此使用它进行运算成为了我国古代的主要计算方法。这种计算工具是?|算筹

4374、东汉时，人们利用计时器把一昼夜分成均衡的多少刻，从此刻开始成为计时单位?|100

4375、扁鹊是传统医学的鼻祖，对中医药学的发展有着特殊的贡献，他是什么时代的人?|战国

4376、民间传说的天狗食月，实际上是天文现象中的?|月食

4377、圭表是我国古代的一种天文仪器，由圭和表两个部件组成，它可以用来测定?|回归年长度

4378、竹书纪年中载有夏桀十年夜中星陨如雨，这是世界上最早的关于哪种天象的记载?|流星雨

4379、候风地动仪是古代一项著名的科学发明，它的用处是?|测试地震

4380、古时所称的扫帚星，其实是什么?|慧星

4381、诗句马行二步鸿沟渡，将守三宫细柳营咏的是：|象棋

4382、南梁的第一位皇帝萧衍在文学上也有不低的造诣，请问他年轻时与同游学于萧子良门下的几位文人并称什么?|竟陵八友

4383、闻官军收河南河北的作者是：|杜甫

4384、指南针是利用磁针磁性，以判别方位的一种简单仪器，战国时期有一种器具被认为是指南针的前身，它是?|司南

4385、漏刻是一种独立的计时系统，它的主要原理是借助什么来计算时间?|水的运动

4386、古时，指南针为什么不叫指北针?|面南为尊 国都在南

4387、禹贡是中国最早一部科学价值很高的地理著作，同时它也是属于哪本书当中的篇章?|尚书

4388、被人称为医圣的古代医学家是谁?|张仲景

4389、东汉时期，由班固撰写的一篇志开创了疆域地理志的先河，全名是?|汉书-地理志

4390、经过长期的天象观测，甘德与石申各自写出一部天文学著作。后人把这两部著作结合起来，称为什么?|甘石星经

4391、汉代史学家文学家司马迁的名句：人固有一死，或重于泰山，或轻于鸿毛。请问下列选项中含有于字的诗句，其字义与司马迁名句中的于字完全相

4392、同的是：|停车坐爱枫林晚，霜叶红于二月花

4393、沉香之碎岳为91级单手斧武器，其得名于我国古代民间传说宝莲灯的故事。请问在这个传说故事中，沉香的母亲三圣母是主管五岳之中哪座山的女神?|华山

4394、晋愍帝被俘后，司马睿在晋朝贵族与江东大族的支持下于317年称晋王，318年即帝位，为晋元帝，是东晋的开国皇帝。请问他在称帝前世袭什么王位?|琅邪王

4395、帮会联赛时，如果兵营升级，将会有一个士兵升级为英雄。请问当兵营第二次升级的时候，哪一位玩家会升级为英雄?|维修次数最多的

4396、靖康之难中宋徽钦二宗被俘至会宁，受尽凌辱折磨，金人还为两位皇帝起了侮辱性封号，称徽宗为?|签羊公 重昏候 昏德公

4397、墨家有着严密的组织，其领袖也就是钜子，从先秦典籍中可考证的钜子仅有三人，包括：|孟胜

4398、不尽长江滚滚来的上半句是：|无边落木萧萧下

4399、冰泉冷涩弦凝绝的下半句是：|凝绝不通声暂歇

4400、春秋战国时代，甘德石申巫咸等，各自建立了自己的星官体系。后来有位太史令陈卓，综甘石巫三家星官，编撰成星表，并绘制成星图。请问陈卓是哪个朝代的?|三国
东晋 东汉

4401、燕草如碧丝的下半句是：|秦桑低绿枝

4402、我国历史上第一个奴隶制王朝夏朝的创立者是:|禹 汤 尧

4403、曹操以行为不端对董祀治罪。说其对夫人缺乏尊重，不能以礼相守。同夫人每每深夜相会，弹琴唱歌，致使同行的人不能安眠。那么，董祀的夫人是：|蔡文姬

4404、下列哪篇传奇小说与其他选项不属于同一类?|南柯太守传 昆仑奴

4405、在倩女游戏中，有些技能附加的状态会加成其他技能产生的伤害，下列技能中不属于的是?|卷舌诱 离宫悔 六合锁

4406、三十六计，走为上计这句俗语最初起于南朝，到明末时，有心人采集群书编撰出三十六计。请问下列哪一个不属于三十六计呢?|破釜沉舟

4407、张道陵是道教的创教者，被称为正一真人，相传他招徒传教，信教者出五斗，故称五斗米道，后逐渐发展成道教正宗天师道，请问他是在以下哪座山招徒传教的?|鹤鸣山

4408、骑兵是一种高效又昂贵的战争单位，古代骑兵需要配备2匹马，每匹马每天需要20斤草料，则一个500骑兵的军队每天需要多少草料?|20000

4409、昨夜西风凋碧树，独上高楼，望尽天涯路的作者是：|晏殊

4410、狄更斯反对资产阶级功利哲学，表现劳资矛盾冲突的小说是：|艰难时世

4411、人人尽说江南好，游人只合江南老的作者是：|韦庄

4412、中国古代有纸寿千年，绢寿八百，意味着古代名纸可以保存千年而不碎，下面四个选项中，纸寿千年不碎的主要原因是：|手工制造不曾破坏植物纤维

4413、公元286年，罗马帝国分裂成东罗马帝国和西罗马帝国，请问西罗马帝国的首都是?|米兰

4414、何处少年吹玉__，谁家鹦鹉语红楼：|笛

4415、以下甲士的哪个技能可以增加聚气层数?|离宫悔

4416、资治通鉴的写作是由哪位宋帝所提出发起的?|宋英宗 宋仁宗 宋徽宗 宋神宗

4417、红楼梦喜欢以花喻人，并有抽花签的故事，请问抽得海棠花签的是谁?|史湘云

4418、煮酒论英雄故事中，刘备和曹操看到了哪类自然现象?|龙卷风

4419、庄子是道家思想的代表作，全书又基本是由一个接一个的寓言组成，下列不属于庄子特点的是?|具有美政理想

4420、唐代女子流行以胭脂在前额点红，称为红梅妆。请问红梅妆起源于哪个女子?|上官婉儿

4421、又恐琼楼玉宇，高处不胜寒中的琼楼玉宇是指：|月宫

4422、孙悟空三打白骨精中，白骨精依次化身的人型是：|村姑，老妇，老头

4423、初唐四杰中，姓名与字对应有误的是?|杨炯-盈州

4424、第一座清真寺是：|库巴清真寺

4425、伊利亚特描写战争的交战双方是希腊人和：|特洛亚人

4426、传说中古罗马城的缔造者罗穆卢斯和瑞摩斯两兄弟身世不事寻常，以下说法中错误的是：|爱同一个姑娘 自相残杀

4427、淒淒去亲爱的下一句是?|泛泛入烟雾

